Time	Channel A	Channel B	Channel C	Channel D
(us)	(V)	(V)	(V)	(V)

151.99199549	-0.00567644	0.00646992	-0.00445570	0.16144290
151.99999549	-0.00390637	0.00915555	-0.00122074	0.16290780
152.00799549	-0.00183111	0.01184118	-0.00207526	0.15967280
152.01599549	0.00439467	0.00738548	0.00231941	0.16113770
152.02399549	-0.00213630	0.01037629	-0.00268563	0.16083250
152.03199549	0.00115970	0.00915555	0.00054933	0.16028320
152.03999549	0.00024415	0.01538133	-0.00592059	0.15759760
152.04799549	0.00207526	0.00677511	-0.00738548	0.16113770
152.05599549	0.00231941	0.01123081	-0.00415052	0.15698720
152.06399549	0.00115970	0.01123081	-0.00860622	0.16235850
152.07199549	-0.00445570	0.00738548	-0.00476089	0.16205330
152.07999549	0.00177007	0.00769066	-0.00445570	0.15851310
152.08799549	0.00415052	0.00207526	0.00000000	0.15582750
152.09599549	0.00292978	0.00415052	-0.00476089	0.15436260
152.10399549	-0.00653096	0.00262459	-0.00177007	0.16083250
152.11199548	-0.00152593	0.01123081	-0.00415052	0.16235850
152.11999548	-0.00238044	0.00946074	-0.00476089	0.15997800
152.12799548	0.00415052	0.00976592	-0.00384533	0.16174810
152.13599548	0.00207526	0.01153600	-0.00152593	0.16290780
152.14399548	0.00115970	0.00354015	-0.00122074	0.16443370
152.15199548	-0.00238044	0.01092563	0.00146489	0.16443370
152.15999548	-0.00445570	0.00976592	-0.00354015	0.15875730
152.16799548	0.00115970	0.01123081	-0.00622578	0.16028320
152.17599548	-0.00421155	0.01361126	-0.00384533	0.15759760
152.18399548	-0.00213630	0.01007111	0.00024415	0.15552230
152.19199548	0.00415052	0.00354015	-0.00177007	0.15790280
152.19999548	0.00085452	0.01214637	-0.00091556	0.16351820
152.20799548	0.00323496	0.01068148	-0.00177007	0.16028320
152.21599548	-0.00030519	0.00469985	-0.00561541	0.15851310
152.22399548	0.00024415	0.01245155	-0.00238044	0.15314190
152.23199548	0.00292978	0.00830104	0.00054933	0.16144290
152.23999548	-0.00091556	0.01037629	-0.00299081	0.16058840
152.24799548	-0.00476089	0.01068148	-0.00622578	0.15521710
152.25599548	-0.00030519	0.00561541	-0.00122074	0.15460680
152.26399548	-0.00299081	0.00262459	0.00201422	0.15344710
152.27199548	0.00262459	0.00830104	-0.00622578	0.15283670
152.27999548	0.00177007	0.01275674	-0.00561541	0.15698720
152.28799548	-0.00476089	0.01361126	0.00000000	0.15643790
152.29599548	0.00177007	0.00646992	-0.00592059	0.16144290
152.30399548	0.00292978	0.00677511	-0.00238044	0.15491200
152.31199548	0.00146489	0.00830104	0.00085452	0.16382340
152.31999548	0.00177007	0.00738548	-0.00415052	0.16260260
152.32799548	-0.00299081	0.00677511	-0.00329600	0.15698720
152.33599548	0.00085452	0.01007111	-0.00476089	0.15460680
152.34399548	-0.00152593	0.00830104	-0.00030519	0.15582750
152.35199548	0.00024415	0.00830104	-0.00506607	0.15582750
152.35999548	0.00439467	0.00738548	-0.00207526	0.16113770
152.36799548	-0.00476089	0.00915555	-0.00354015	0.16113770
